association,score,general_aspect,review_text,hotel,location,review_rating
cafe da manha gostamos,3,comida,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
estrutura gostamos,3,instalacoes,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
atendimento gostamos,3,instalacoes,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
lixeira bem enferrujados,2,instalacoes,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
apoio do papel bem enferrujados,2,instalacoes,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
banheiro manchas,2,instalacoes,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
estrutura pouco complicada,2,instalacoes,"Gostamos da estrutura do hotel, do atendimento e do cafe da manha. Abaixo alguns pontos apenas para somar:melhorar um pouco mais limpeza dos quartos, trocar o apoio do papel e a lixeira que estavam bem enferrujados,limpar painel de TV e manchas no banheiro. Outra coisa, achei a estrutura do cafe da manha um pouco complicada e nao fomos atendidos com talheres e limpeza da mesa. ",Americas Barra Hotel,Rio de Janeiro,3
check out tardio,3,outros,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
check in antecipado,3,outros,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
limpeza do quarto excelente,5,instalacoes,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
pessoal muito simpatico,5,servico,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
cobertura incrivel,5,comida|instalacoes,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
piscina incrivel,5,instalacoes,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
vista linda,5,zona,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
iluminacao linda,5,outros|instalacoes,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
barman muito bons,4,comida|servico,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
drinks muito bons,4,comida,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
chuveiro pouca agua,2,comida,"Me hospedei para um congresso que acontecia no mesmo local. Me permitiram check in antecipado e check out tardio (o q foi otimo, pois fui com crianca). Limpeza do quarto excelente. Pessoal muito simpatico. Cobertura com uma piscina incrivel, com linda vista e iluminacao, com barman e drinks muito bons! Jacuzzi com cromoterapia. . Sala de ginastica. . Pontos negativos, o chuveiro sai pouca agua, mas nada que atrapalhe o banho, e a Internet que deixou um pouco a desejar, se desconectando a todo momento. ",Americas Barra Hotel,Rio de Janeiro,4
cafe da manha excelente,5,comida,Um final de semana num local agradavel. Cafe da manha excelente. O estacionamento e cortesia. Existe um servico de traslado ate a praia como tambem um clube em frente que pertencem ao condominio onde o hotel se encontra. ,Bourbon Barra Premium Residence,Rio de Janeiro,5
local agradavel,3,comida,Um final de semana num local agradavel. Cafe da manha excelente. O estacionamento e cortesia. Existe um servico de traslado ate a praia como tambem um clube em frente que pertencem ao condominio onde o hotel se encontra. ,Bourbon Barra Premium Residence,Rio de Janeiro,5
estacionamento cortesia,3,instalacoes,Um final de semana num local agradavel. Cafe da manha excelente. O estacionamento e cortesia. Existe um servico de traslado ate a praia como tambem um clube em frente que pertencem ao condominio onde o hotel se encontra. ,Bourbon Barra Premium Residence,Rio de Janeiro,5
avaliacoes otimas,4,outros,Me hospedei baseado em otimas avaliacoes lidas no TripAdvisor. Conclusao: minha experiencia foi melhor ainda! O hotel atenta para os pequenos detalhes. Pelo custo beneficio e uma opcao excelente. Tem quartos grandes e bem completos. Indico! ,Hotel Marina Rio,Distrito de Faro,5
experiencia melhor,4,outros,Me hospedei baseado em otimas avaliacoes lidas no TripAdvisor. Conclusao: minha experiencia foi melhor ainda! O hotel atenta para os pequenos detalhes. Pelo custo beneficio e uma opcao excelente. Tem quartos grandes e bem completos. Indico! ,Hotel Marina Rio,Distrito de Faro,5
opcao excelente,5,outros,Me hospedei baseado em otimas avaliacoes lidas no TripAdvisor. Conclusao: minha experiencia foi melhor ainda! O hotel atenta para os pequenos detalhes. Pelo custo beneficio e uma opcao excelente. Tem quartos grandes e bem completos. Indico! ,Hotel Marina Rio,Distrito de Faro,5
quartos grandes,3,instalacoes,Me hospedei baseado em otimas avaliacoes lidas no TripAdvisor. Conclusao: minha experiencia foi melhor ainda! O hotel atenta para os pequenos detalhes. Pelo custo beneficio e uma opcao excelente. Tem quartos grandes e bem completos. Indico! ,Hotel Marina Rio,Distrito de Faro,5
quartos bem completos,3,instalacoes,Me hospedei baseado em otimas avaliacoes lidas no TripAdvisor. Conclusao: minha experiencia foi melhor ainda! O hotel atenta para os pequenos detalhes. Pelo custo beneficio e uma opcao excelente. Tem quartos grandes e bem completos. Indico! ,Hotel Marina Rio,Distrito de Faro,5
hotel muito bom,5,hotel,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
